manche,joueur,prix
1,J01,42
1,J02,54
1,J03,47
1,J04,45
1,J05,54
1,J06,40
1,J07,49
1,J08,45
1,J09,16
1,J10,12
1,J11,45
1,J12,37
1,J13,32
1,J14,1
1,J15,5
1,J16,23
1,J17,20
1,J18,16
1,J19,47
1,J20,28
1,J21,20
1,J22,52
1,J23,28
1,J24,41
1,J25,16
1,J26,31
1,J27,27
1,J28,46
1,J29,3
1,J30,7
1,J31,27
1,J32,27
1,J33,27
1,J34,5
1,J35,28
1,J36,4
1,J37,7
1,J38,30
1,J39,5
1,J40,38
2,J01,44
2,J02,34
2,J03,4
2,J04,56
2,J05,47
2,J06,0
2,J07,53
2,J08,21
2,J09,8
2,J10,27
2,J11,24
2,J12,3
2,J13,41
2,J14,1
2,J15,16
2,J16,25
2,J17,10
2,J18,32
2,J19,51
2,J20,33
2,J21,20
2,J22,2
2,J23,10
2,J24,4
2,J25,44
2,J26,27
2,J27,45
2,J28,8
2,J29,29
2,J30,8
2,J31,8
2,J32,39
2,J33,25
2,J34,28
2,J35,26
2,J36,54
2,J37,22
2,J38,28
2,J39,7
2,J40,52
3,J01,11
3,J02,41
3,J03,16
3,J04,33
3,J05,0
3,J06,40
3,J07,23
3,J08,5
3,J09,7
3,J10,40
3,J11,19
3,J12,7
3,J13,2
3,J14,0
3,J15,24
3,J16,47
3,J17,25
3,J18,40
3,J19,1
3,J20,9
3,J21,16
3,J22,32
3,J23,0
3,J24,0
3,J25,38
3,J26,20
3,J27,42
3,J28,22
3,J29,20
3,J30,22
3,J31,45
3,J32,2
3,J33,32
3,J34,8
3,J35,6
3,J36,18
3,J37,47
3,J38,11
3,J39,54
3,J40,34
4,J01,34
4,J02,12
4,J03,26
4,J04,24
4,J05,0
4,J06,22
4,J07,4
4,J08,20
4,J09,27
4,J10,0
4,J11,33
4,J12,55
4,J13,23
4,J14,0
4,J15,1
4,J16,27
4,J17,37
4,J18,0
4,J19,9
4,J20,52
4,J21,45
4,J22,53
4,J23,8
4,J24,27
4,J25,3
4,J26,7
4,J27,45
4,J28,60
4,J29,50
4,J30,25
4,J31,39
4,J32,16
4,J33,43
4,J34,30
4,J35,5
4,J36,9
4,J37,52
4,J38,33
4,J39,50
4,J40,2
5,J01,41
5,J02,6
5,J03,1
5,J04,32
5,J05,20
5,J06,2
5,J07,38
5,J08,46
5,J09,6
5,J10,6
5,J11,27
5,J12,29
5,J13,50
5,J14,31
5,J15,31
5,J16,47
5,J17,4
5,J18,17
5,J19,56
5,J20,10
5,J21,52
5,J22,1
5,J23,0
5,J24,5
5,J25,49
5,J26,1
5,J27,16
5,J28,27
5,J29,30
5,J30,8
5,J31,1
5,J32,32
5,J33,32
5,J34,27
5,J35,53
5,J36,22
5,J37,7
5,J38,3
5,J39,27
5,J40,23
6,J01,21
6,J02,57
6,J03,25
6,J04,29
6,J05,58
6,J06,33
6,J07,40
6,J08,33
6,J09,7
6,J10,51
6,J11,51
6,J12,31
6,J13,5
6,J14,11
6,J15,22
6,J16,1
6,J17,26
6,J18,49
6,J19,44
6,J20,58
6,J21,54
6,J22,33
6,J23,18
6,J24,26
6,J25,25
6,J26,1
6,J27,52
6,J28,33
6,J29,51
6,J30,16
