joueur,prix
U01492,163
U01148,27
U01956,24
U01842,22
U00235,10
U01445,70
U00038,169
U01103,0
U00546,185
U01371,20
U00814,0
U00762,45
U00929,48
U00970,10
U00199,61
U01057,150
U01518,101
U01117,8
U00604,0
U00902,14
U01821,0
U01576,0
U00218,90
U01318,49
U01998,0
U01643,40
U00646,15
U01011,172
U01217,91
U00488,43
U01844,1
U01442,197
U01004,122
U00981,162
U00330,40
U01264,8
U00395,122
U00758,65
U01432,165
U00947,49
U00951,111
U01022,63
U01711,0
U01999,94
U01246,128
U00834,44
U01525,51
U00696,14
U00291,178
U00729,48
U00350,194
U01766,44
U01088,6
U00957,46
U00792,16
U01555,0
U00932,158
U00480,2
U01783,6
U01061,25
U01629,52
U00028,0
U01983,159
U00538,12
U01908,8
U00100,160
U01691,0
U01130,125
U00935,0
U00225,171
U00337,160
U01865,140
U01588,0
U00556,0
U00747,3
U00625,14
U00035,29
U00753,7
U00415,13
U00930,43
U00730,0
U01968,5
U00731,6
U01904,157
U01379,44
U00622,19
U01170,41
U00274,160
U01309,118
U01963,0
U01310,184
U00838,8
U01535,62
U01091,7
U00034,7
U01272,137
U00498,136
U00005,36
U01484,0
U00294,166
U01829,2
U01668,0
U01957,46
U01008,193
U01668,145
U01232,167
U01781,0
U01041,20
U01246,144
U01682,83
U01952,73
U00054,15
U00249,69
U00593,2
U00390,74
U01311,13
U01814,17
U01624,4
U00163,105
U00164,0
U01726,0
U01020,78
U01210,199
U00081,20
U00225,56
U00365,28
U01992,78
U01628,50
U01038,31
U00225,66
U00759,6
U00788,8
U00016,75
U00535,78
U00342,44
U01609,10
U01748,12
U00431,58
U00354,32
U00151,35
U01978,132
U00997,20
U01098,161
U01703,58
U00849,111
U01650,87
U00951,0
U00639,93
U01625,0
U00562,158
U00907,47
U01064,149
U00929,149
U01838,102
U00121,0
U00038,173
U01171,0
U00058,0
U01976,54
U01005,192
U00650,14
U00765,18
U01034,7
U01738,64
U00882,105
U01257,1
U01647,105
U01648,19
U01054,67
U01842,0
U00271,9
U00388,21
U01667,23
U00946,2
U01428,180
U00591,12
U01976,98
U01792,194
U01166,138
U01763,27
U01823,198
U01174,25
U00325,87
U00631,2
U00074,175
U00220,24
U00650,123
U00717,139
U01491,177
U00689,2
U00824,41
U00638,29
U01827,188
U00518,6
U00520,137
U01206,5
U00727,96
U00534,14
U01122,150
U00878,3
U00318,196
U00982,122
U01479,7
U00564,4
U00110,35
U01780,23
U00161,98
U00402,140
U01642,3
U00252,154
U00663,14
U00511,17
U01650,133
U01678,129
U00244,26
U00037,156
U00978,172
U01856,16
U00601,123
U00008,21
U00339,53
U01796,0
U01074,18
U00694,1
U00106,71
U01625,13
U00353,81
U01870,169
U01584,119
U01333,92
U00274,83
U01266,20
U01798,37
U01598,102
U00168,19
U01271,52
U00597,119
U01642,43
U00128,19
U01784,0
U00286,8
U01388,25
U00106,4
U01716,187
U00887,14
U01234,68
U00878,0
U00391,127
U01337,8
U00778,7
U01289,109
U01679,1
U01159,0
U01003,40
U01237,17
U01228,122
U01959,6
U01643,19
U01405,0
U00259,97
U01304,12
U01756,1
U00742,0
U01234,87
U01351,172
U01382,122
U00950,56
U01131,0
U01155,4
U00125,199
U00973,23
U00734,24
U01364,0
U01063,27
U00248,5
U01236,18
U00578,8
U00937,174
U00676,0
U01148,54
U01796,15
U01923,11
U01033,28
U00594,7
U00098,52
U00137,1
U01864,102
U01582,186
U01459,97
U01281,5
U00837,148
U00618,22
U01066,1
U00353,84
U00562,165
U01239,89
U00803,0
U01140,95
U01994,24
U01557,92
U01902,97
U01328,33
U00867,127
U00514,89
U00666,2
U00053,24
U01836,29
U00461,21
U00343,116
U00832,23
U00801,94
U00608,104
U00530,1
U00012,171
U01618,0
U00707,0
U01591,117
U01564,2
U01436,3
U00061,0
U01738,0
U00193,40
U01496,126
U01660,133
U01967,17
U01510,173
U00452,5
U00478,178
U00881,102
U00898,199
U01712,138
U01684,107
U00365,10
U01497,9
U01435,0
U00267,9
U00222,0
U00986,153
U01023,2
U01856,6
U01068,18
U00395,0
U00355,0
U01062,72
U00606,2
U00022,28
U01827,25
U00402,84
U00630,80
U01167,4
U00389,27
U00608,112
U01102,154
U00198,4
U01198,16
U00949,40
U00539,179
U01148,68
U01544,120
U00103,50
U01660,67
U00773,28
U00396,111
U00511,122
U00695,142
U00984,74
U00617,0
U01251,99
U01909,110
U01927,55
U00334,141
U01538,25
U00192,31
U00515,160
U01432,13
U00238,6
U01301,98
U00935,3
U01248,4
U00667,194
U00539,43
U01322,0
U01706,143
U00292,22
